,total,paid_total,balance,breakdowns_labor_0_hours,breakdowns_labor_0_rate,breakdowns_material_0_rate,Slug,Total,Labor0Breakdown_quantity0total0,Labor0Breakdown_hourstotal,Labor0Breakdown_ratetotal,target
271,4000.0,4000.0,0.0,0.0,0.0,0.0,697.0,4000.0,0.0,0.0,0.0,0
272,14665.0,14665.0,0.0,0.0,0.0,0.0,703.0,14665.0,0.0,0.0,0.0,0
278,31553.0,31553.0,0.0,0.0,0.0,0.0,722.0,31553.0,0.0,0.0,0.0,0
279,0.0,1155.0,-1155.0,0.0,0.0,0.0,724.0,0.0,0.0,0.0,0.0,0
280,0.0,4550.0,-4550.0,0.0,0.0,0.0,725.0,0.0,0.0,0.0,0.0,0
290,5580.0,5580.0,0.0,0.0,0.0,300.0,747.0,5580.0,0.0,0.0,0.0,0
293,13000.0,13000.0,0.0,0.0,0.0,0.0,752.0,13000.0,0.0,0.0,0.0,0
297,37500.0,37500.0,0.0,0.0,0.0,0.0,762.0,37500.0,0.0,0.0,0.0,0
298,8320.0,8320.0,0.0,0.0,0.0,0.0,763.0,8320.0,0.0,0.0,0.0,0
299,9000.0,9000.0,0.0,0.0,0.0,0.0,764.0,9000.0,0.0,0.0,0.0,0
300,13000.0,13000.0,0.0,0.0,0.0,0.0,766.0,13000.0,0.0,0.0,0.0,0
302,1840.0,1840.0,0.0,0.0,0.0,0.0,778.0,1840.0,0.0,0.0,0.0,0
303,-1270.0,-1270.0,0.0,0.0,0.0,0.0,780.0,-1270.0,0.0,0.0,0.0,0
304,11455.0,11455.0,0.0,0.0,0.0,0.0,781.0,11455.0,0.0,0.0,0.0,0
308,0.0,2254.0,-2254.0,0.0,0.0,0.0,806.0,0.0,0.0,0.0,0.0,0
309,0.0,1127.0,-1127.0,0.0,0.0,0.0,808.0,0.0,0.0,0.0,0.0,0
310,8000.0,8000.0,0.0,0.0,0.0,0.0,818.0,8000.0,0.0,0.0,0.0,0
312,0.0,2254.0,-2254.0,0.0,0.0,0.0,832.0,0.0,0.0,0.0,0.0,0
315,0.0,9566.0,-9566.0,0.0,0.0,0.0,850.0,0.0,0.0,0.0,0.0,0
320,40802.0,40802.0,0.0,0.0,0.0,0.0,865.0,40802.0,0.0,0.0,0.0,0
323,1126355.79,1122848.79,3507.0,0.0,0.0,0.0,875.0,1126355.79,0.0,0.0,0.0,0
324,7470.0,7470.0,0.0,0.0,0.0,0.0,882.0,7470.0,0.0,0.0,0.0,0
325,3430.0,3430.0,0.0,0.0,0.0,0.0,884.0,3430.0,0.0,0.0,0.0,0
336,1200.0,1200.0,0.0,0.0,0.0,0.0,941.0,1200.0,0.0,0.0,0.0,0
337,0.0,16321.0,-16321.0,0.0,0.0,0.0,946.0,0.0,0.0,0.0,0.0,0
339,0.0,0.0,0.0,0.0,0.0,0.0,952.0,0.0,0.0,0.0,0.0,0
340,43500.0,43500.0,0.0,0.0,0.0,0.0,958.0,43500.0,0.0,0.0,0.0,0
346,25380.0,25830.0,-450.0,0.0,0.0,0.0,986.0,25380.0,0.0,0.0,0.0,0
347,3485.0,3485.0,0.0,0.0,0.0,0.0,990.0,3485.0,0.0,0.0,0.0,0
348,0.0,3920.0,-3920.0,0.0,0.0,0.0,997.0,0.0,0.0,0.0,0.0,0
349,-6100.0,-6100.0,0.0,0.0,0.0,0.0,1005.0,-6100.0,0.0,0.0,0.0,0
350,0.0,2415.0,-2415.0,0.0,0.0,0.0,1009.0,0.0,0.0,0.0,0.0,0
352,0.0,5175.0,-5175.0,0.0,0.0,0.0,1016.0,0.0,0.0,0.0,0.0,0
353,9495.0,9495.0,0.0,0.0,0.0,0.0,1020.0,9495.0,0.0,0.0,0.0,0
354,1275.0,1275.0,0.0,0.0,0.0,0.0,1028.0,1275.0,0.0,0.0,0.0,0
355,6860.0,6100.0,760.0,0.0,0.0,0.0,1029.0,6860.0,4.0,14.0,910.0,0
356,4000.0,4000.0,0.0,0.0,0.0,0.0,1030.0,4000.0,0.0,0.0,0.0,0
358,3600.0,3600.0,0.0,0.0,0.0,0.0,1042.0,3600.0,0.0,0.0,0.0,0
359,4165.0,4165.0,0.0,0.0,0.0,0.0,1043.0,4165.0,0.0,0.0,0.0,0
360,3260.0,0.0,3260.0,0.0,0.0,0.0,1052.0,3260.0,0.0,0.0,0.0,0
361,3260.0,3260.0,0.0,0.0,0.0,0.0,1053.0,3260.0,0.0,0.0,0.0,0
362,0.0,1328.0,-1328.0,0.0,0.0,0.0,1054.0,0.0,0.0,0.0,0.0,0
363,1275.0,1275.0,0.0,0.0,0.0,0.0,1057.0,1275.0,1.0,5.0,205.0,0
364,5005.0,5005.0,0.0,0.0,0.0,0.0,1058.0,5005.0,0.0,0.0,0.0,0
366,1888.0,1888.0,0.0,0.0,0.0,0.0,1062.0,1888.0,0.0,0.0,0.0,0
368,7650.0,7650.0,0.0,0.0,0.0,0.0,1071.0,7650.0,0.0,0.0,0.0,0
369,20000.0,20000.0,0.0,0.0,0.0,0.0,1074.0,20000.0,0.0,0.0,0.0,0
370,1905.0,1905.0,0.0,0.0,0.0,0.0,1076.0,1905.0,2.0,10.0,262.0,0
371,8569.0,8569.0,0.0,0.0,0.0,0.0,1077.0,8569.0,0.0,0.0,0.0,0
372,1888.0,1888.0,0.0,0.0,0.0,0.0,1078.0,1888.0,0.0,0.0,0.0,0
373,8934.0,8934.0,0.0,0.0,0.0,0.0,1079.0,8934.0,0.0,0.0,0.0,0
374,1251.0,1251.0,0.0,0.0,0.0,0.0,1080.0,1251.0,2.0,8.0,262.0,0
375,12000.0,12000.0,0.0,0.0,0.0,0.0,1083.0,12000.0,2.0,32.0,165.0,0
376,2500.0,0.0,2500.0,0.0,0.0,0.0,1084.0,2500.0,0.0,0.0,0.0,0
377,0.0,14312.0,-14312.0,0.0,0.0,0.0,1085.0,0.0,0.0,0.0,0.0,0
378,2490.0,0.0,2490.0,0.0,0.0,0.0,1088.0,2490.0,0.0,0.0,0.0,0
379,1290.0,1290.0,0.0,0.0,0.0,0.0,1090.0,1290.0,2.0,3.0,165.0,0
380,3465.0,3465.0,0.0,0.0,0.0,0.0,1093.0,3465.0,0.0,0.0,0.0,0
381,4000.0,4000.0,0.0,0.0,0.0,0.0,1094.0,4000.0,0.0,0.0,0.0,0
382,1920.0,1920.0,0.0,0.0,0.0,0.0,1103.0,1920.0,2.0,8.0,405.0,0
383,3000.0,3000.0,0.0,0.0,0.0,0.0,1108.0,3000.0,0.0,0.0,0.0,0
385,0.0,40000.0,-40000.0,0.0,0.0,0.0,1113.0,0.0,0.0,0.0,0.0,0
386,550.0,0.0,550.0,0.0,0.0,0.0,1114.0,550.0,0.0,0.0,0.0,0
389,0.0,3961.0,-3961.0,0.0,0.0,0.0,1123.0,0.0,0.0,0.0,0.0,0
390,1640.0,1640.0,0.0,0.0,0.0,0.0,1126.0,1640.0,0.0,0.0,0.0,0
391,3595.0,3595.0,0.0,0.0,0.0,0.0,1130.0,3595.0,0.0,0.0,0.0,0
392,6750.0,6750.0,0.0,0.0,0.0,0.0,1131.0,6750.0,0.0,0.0,0.0,0
395,8975.0,8975.0,0.0,0.0,0.0,0.0,1160.0,8975.0,0.0,0.0,0.0,0
396,3850.0,3850.0,0.0,0.0,0.0,0.0,1162.0,3850.0,3.0,23.0,325.0,0
397,3451.0,3451.0,0.0,0.0,0.0,0.0,1165.0,3451.0,3.0,21.0,262.0,0
398,1470.0,1470.0,0.0,0.0,0.0,0.0,1168.0,1470.0,1.0,7.0,210.0,0
399,3500.0,3500.0,0.0,0.0,0.0,0.0,1169.0,3500.0,0.0,0.0,0.0,0
400,5782.0,5782.0,0.0,0.0,0.0,0.0,1171.0,5782.0,3.0,42.0,262.0,0
401,5425.36,5425.0,0.36,0.0,0.0,0.0,1172.0,5425.36,0.0,0.0,0.0,0
402,3755.0,3755.0,0.0,0.0,0.0,0.0,1173.0,3755.0,0.0,0.0,0.0,0
403,1495.0,1495.0,0.0,0.0,0.0,0.0,1175.0,1495.0,0.0,0.0,0.0,0
404,2722.0,2722.0,0.0,0.0,0.0,0.0,1176.0,2722.0,0.0,0.0,0.0,0
405,14890.0,14890.0,0.0,0.0,0.0,0.0,1177.0,14890.0,0.0,0.0,0.0,0
406,2910.0,2910.0,0.0,0.0,0.0,0.0,1180.0,2910.0,0.0,0.0,0.0,0
407,7300.0,7300.0,0.0,0.0,0.0,0.0,1188.0,7300.0,2.0,21.0,325.0,0
408,2210.0,0.0,2210.0,0.0,0.0,0.0,1189.0,2210.0,2.0,10.0,405.0,0
409,3790.0,3790.0,0.0,0.0,0.0,0.0,1191.0,3790.0,0.0,0.0,0.0,0
410,2000.0,2000.0,0.0,0.0,0.0,0.0,1192.0,2000.0,0.0,0.0,0.0,0
411,1400.0,1400.0,0.0,0.0,0.0,0.0,1193.0,1400.0,0.0,0.0,0.0,0
